"method","n_obs","rep","ok","elapsed_sec","objective","alpha","beta","delta","gamma","err_alpha","err_beta","err_delta","err_gamma","l2_error","error_msg"
"tracking",6,1,TRUE,41.505,0.00225534778580434,1.11877222208418,0.459429912009437,0.0844739309722337,0.78495769983531,-0.0812277779158161,0.0094299120094371,-0.0355260690277663,-0.0150423001646903,0.0904170753810205,""
"cascading",6,1,TRUE,176.63,0.978091593140764,1.28213074086857,0.498437166091302,0.0602787582291625,0.68455154488956,0.0821307408685668,0.0484371660913015,-0.0597212417708375,-0.11544845511044,0.161203567456226,""
"tracking",6,2,TRUE,60.25,0.00333611074430774,1.10963252318707,0.476198058245373,0.08641566828328,0.770831084035706,-0.0903674768129255,0.0261980582453727,-0.03358433171672,-0.0291689159642944,0.104073782081528,""
"cascading",6,2,TRUE,187.076,1.0356250932284,0.802735887207534,0.367449656215221,0.159844102289207,1.02740461488881,-0.397264112792466,-0.0825503437847785,0.0398441022892069,0.227404614888808,0.466833745493757,""
"tracking",6,3,TRUE,38.008,0.00600335908477843,1.1189640044828,0.460190218050232,0.0865549878219172,0.778450995571642,-0.0810359955172013,0.0101902180502321,-0.0334450121780828,-0.0215490044283583,0.0908493343113787,""
"cascading",6,3,TRUE,185.947,0.993158454439534,1.8294104648326,0.619576498539963,0.0752422261602546,0.608027769444036,0.629410464832602,0.169576498539963,-0.0447577738397454,-0.191972230555964,0.681006841170915,""
"tracking",21,1,TRUE,56.5649999999999,0.015682628102573,1.12879411223405,0.438505189982471,0.109803246075116,0.792791369376371,-0.0712058877659545,-0.0114948100175293,-0.0101967539248845,-0.00720863062362875,0.0732007326189388,""
"cascading",21,1,TRUE,123.317,7.54529117815369,1.15591228034297,0.448265846631467,0.127832237330831,0.835174397729671,-0.0440877196570297,-0.00173415336853344,0.00783223733083094,0.035174397729671,0.0569676795184251,""
"tracking",21,2,TRUE,47.323,0.0101989832458116,1.12278804905272,0.456117372105599,0.0932979483841344,0.794003336849016,-0.0772119509472777,0.00611737210559943,-0.0267020516158656,-0.00599666315098379,0.0821466197722457,""
"cascading",21,2,TRUE,106.26,4.47110031274859,1.07779627694567,0.429111402531276,0.125536755384552,0.869539720184389,-0.122203723054332,-0.0208885974687242,0.00553675538455203,0.0695397201843891,0.142255094025,""
"tracking",21,3,TRUE,46.2689999999999,0.0181072161836865,1.11921672673813,0.459175178542429,0.0923001263752011,0.781339249835108,-0.0807832732618663,0.00917517854242922,-0.0276998736247989,-0.0186607501648918,0.0878955501475084,""
"cascading",21,3,TRUE,132.345,8.13006994082745,1.33252639558148,0.505599466257744,0.0730930202770002,0.684317615371403,0.132526395581484,0.0555994662577438,-0.0469069797229998,-0.115682384628597,0.190360775986175,""
"tracking",51,1,TRUE,42.8209999999999,0.0377914535134578,1.14948674447749,0.439112706352939,0.120945274834651,0.817708325040935,-0.0505132555225132,-0.0108872936470608,0.000945274834650803,0.017708325040935,0.0546314970205693,""
"cascading",51,1,TRUE,103.761,18.8628853882396,1.18789243150396,0.448875905505939,0.11858142028277,0.803488073654046,-0.0121075684960443,-0.00112409449406059,-0.00141857971722992,0.00348807365404602,0.0127293295011233,""
"tracking",51,2,TRUE,44.0169999999998,0.0462170030063544,1.15030930729675,0.434362386018334,0.125790506734779,0.817733331669889,-0.0496906927032512,-0.0156376139816661,0.00579050673477888,0.0177333316698886,0.0553326389459994,""
"cascading",51,2,TRUE,116.712,23.0695073901466,1.13599091351727,0.431561694733481,0.133049805024857,0.840473958927667,-0.064009086482727,-0.0184383052665186,0.0130498050248575,0.0404739589276674,0.0790289378387426,""
"tracking",51,3,TRUE,44.808,0.0428194258251759,1.14802452629516,0.435891763503293,0.127562034408492,0.813145297538616,-0.0519754737048366,-0.0141082364967071,0.0075620344084921,0.0131452975386158,0.0559506516107108,""
"cascading",51,3,TRUE,98.671,21.10043551151,1.18991898999903,0.448901000036225,0.136012171872412,0.82789020712277,-0.0100810100009692,-0.00109899996377494,0.0160121718724121,0.02789020712277,0.0337207334585518,""
