"method","n_obs","param","abs_err_mean","abs_err_sd"
"cascading",6,"alpha",0.369601772831211,0.274686508322918
"tracking",6,"alpha",0.0842104167486476,0.00533303258929178
"cascading",21,"alpha",0.0996059460976152,0.0483564317579038
"tracking",21,"alpha",0.0764003706583662,0.0048399974337119
"cascading",51,"alpha",0.0287325549932468,0.0305671717743023
"tracking",51,"alpha",0.050726473976867,0.00115721762787261
"cascading",6,"beta",0.100188002805348,0.062465988572352
"tracking",6,"beta",0.015272729435014,0.00946924619649095
"cascading",21,"beta",0.0260740723650005,0.0273044839831861
"tracking",21,"beta",0.00892912022185266,0.0026971500045435
"cascading",51,"beta",0.00688713324145139,0.010003616286043
"tracking",51,"beta",0.0135443813751447,0.00242483716338342
"cascading",6,"delta",0.0481077059665966,0.0103533425730018
"tracking",6,"delta",0.0341851376408563,0.00116336805085998
"cascading",21,"delta",0.0200919908127942,0.0232508071264689
"tracking",21,"delta",0.021532893055183,0.00983005340659407
"cascading",51,"delta",0.0101601855381665,0.00771399109290041
"tracking",51,"delta",0.00476593865930726,0.00342530022340551
"cascading",6,"gamma",0.178275100185071,0.0572210971878185
"tracking",6,"gamma",0.0219200735191143,0.00707061437853824
"cascading",21,"gamma",0.0734655008475523,0.0403973118411466
"tracking",21,"gamma",0.0106220146465014,0.00698807325660372
"cascading",51,"gamma",0.0239507465681611,0.0188050110200542
"tracking",51,"gamma",0.0161956514164798,0.0026417135382215
